State,Year,Primary_Fuel,Energy_Amount
South Australia,2019-20,Gas,103.7
South Australia,2019-20,Renewables,40.9
South Australia,2020-21,Coal,25.4
South Australia,2020-21,Oil,143.3
South Australia,2020-21,Gas,92.2
South Australia,2020-21,Renewables,44.3
South Australia,2021-22,Coal,25.9
South Australia,2021-22,Oil,141.9
South Australia,2021-22,Gas,80.2
South Australia,2021-22,Renewables,48.1
South Australia,2022-23,Coal,22
South Australia,2022-23,Oil,144.9
South Australia,2022-23,Gas,74.8
South Australia,2022-23,Renewables,53
Tasmania,2008-09,Coal,12.4
Tasmania,2008-09,Oil,41.6
Tasmania,2008-09,Gas,11.2
Tasmania,2008-09,Renewables,37.1
Tasmania,2009-10,Coal,11.5
Tasmania,2009-10,Oil,41.5
Tasmania,2009-10,Gas,13.6
Tasmania,2009-10,Renewables,40
Tasmania,2010-11,Coal,10.1
Tasmania,2010-11,Oil,39.2
Tasmania,2010-11,Gas,17.7
Tasmania,2010-11,Renewables,43.1
Tasmania,2011-12,Coal,8.9
Tasmania,2011-12,Oil,38.1
Tasmania,2011-12,Gas,16.2
Tasmania,2011-12,Renewables,39.8
Tasmania,2012-13,Coal,12
Tasmania,2012-13,Oil,38.5
Tasmania,2012-13,Gas,17.7
Tasmania,2012-13,Renewables,48.5
Tasmania,2013-14,Coal,11
Tasmania,2013-14,Oil,38.2
Tasmania,2013-14,Gas,12.4
Tasmania,2013-14,Renewables,54.2
Tasmania,2014-15,Coal,11.3
Tasmania,2014-15,Oil,37.9
Tasmania,2014-15,Gas,6.6
Tasmania,2014-15,Renewables,41.3
Tasmania,2015-16,Coal,9.7
Tasmania,2015-16,Oil,38.1
Tasmania,2015-16,Gas,12.9
Tasmania,2015-16,Renewables,40.9
Tasmania,2016-17,Coal,10.7
Tasmania,2016-17,Oil,37
Tasmania,2016-17,Gas,13.2
Tasmania,2016-17,Renewables,41.9
Tasmania,2017-18,Coal,10.5
Tasmania,2017-18,Oil,38.1
Tasmania,2017-18,Gas,13.9
Tasmania,2017-18,Renewables,45.9
Tasmania,2018-19,Coal,10
Tasmania,2018-19,Oil,40.3
Tasmania,2018-19,Gas,10.6
Tasmania,2018-19,Renewables,46.6
Tasmania,2019-20,Coal,8.3
Tasmania,2019-20,Oil,37.3
Tasmania,2019-20,Gas,7.4
Tasmania,2019-20,Renewables,47.4
Tasmania,2020-21,Coal,8.1
Tasmania,2020-21,Oil,40
Tasmania,2020-21,Gas,7.3
Tasmania,2020-21,Renewables,43.4
Tasmania,2021-22,Coal,8.8
Tasmania,2021-22,Oil,39.9
Tasmania,2021-22,Gas,7.1
Tasmania,2021-22,Renewables,48.4
Tasmania,2022-23,Coal,8.8
Tasmania,2022-23,Oil,39.5
Tasmania,2022-23,Gas,7.2
Tasmania,2022-23,Renewables,43.9
Northern Territory,2008-09,Coal,0
Northern Territory,2008-09,Oil,54.8
Northern Territory,2008-09,Gas,39.9
Northern Territory,2008-09,Renewables,0.4
Northern Territory,2009-10,Coal,0
Northern Territory,2009-10,Oil,51.9
Northern Territory,2009-10,Gas,42
Northern Territory,2009-10,Renewables,0.5
Northern Territory,2010-11,Coal,0
Northern Territory,2010-11,Oil,54.9
Northern Territory,2010-11,Gas,44.1
Northern Territory,2010-11,Renewables,0.5
Northern Territory,2011-12,Coal,0
Northern Territory,2011-12,Oil,55.7
Northern Territory,2011-12,Gas,42
Northern Territory,2011-12,Renewables,0.5
Northern Territory,2012-13,Coal,0
Northern Territory,2012-13,Oil,54.2
Northern Territory,2012-13,Gas,45.3
Northern Territory,2012-13,Renewables,0.5
Northern Territory,2013-14,Coal,0
Northern Territory,2013-14,Oil,51.2
Northern Territory,2013-14,Gas,47.4
Northern Territory,2013-14,Renewables,0.6
Northern Territory,2014-15,Coal,0
Northern Territory,2014-15,Oil,38.4
Northern Territory,2014-15,Gas,44.9
Northern Territory,2014-15,Renewables,0.6
Northern Territory,2015-16,Coal,0
Northern Territory,2015-16,Oil,33.4
Northern Territory,2015-16,Gas,49.8
Northern Territory,2015-16,Renewables,0.7
Northern Territory,2016-17,Coal,0
Northern Territory,2016-17,Oil,34.4
Northern Territory,2016-17,Gas,48.1
Northern Territory,2016-17,Renewables,0.8
Northern Territory,2017-18,Coal,0
Northern Territory,2017-18,Oil,42.3
Northern Territory,2017-18,Gas,46.9
Northern Territory,2017-18,Renewables,1
Northern Territory,2018-19,Coal,0
Northern Territory,2018-19,Oil,45.8
Northern Territory,2018-19,Gas,86.1
Northern Territory,2018-19,Renewables,1.1
Northern Territory,2019-20,Coal,0
Northern Territory,2019-20,Oil,36.5
Northern Territory,2019-20,Gas,108.7
Northern Territory,2019-20,Renewables,1.3
Northern Territory,2020-21,Coal,0
Northern Territory,2020-21,Oil,37.6
Northern Territory,2020-21,Gas,106.2
Northern Territory,2020-21,Renewables,1.5
Northern Territory,2021-22,Coal,0
Northern Territory,2021-22,Oil,37.6
Northern Territory,2021-22,Gas,110.6
Northern Territory,2021-22,Renewables,1.6
Northern Territory,2022-23,Coal,0
Northern Territory,2022-23,Oil,36.6
Northern Territory,2022-23,Gas,91.3
Northern Territory,2022-23,Renewables,1.7
