State,Year,Fuel_Type,Energy_Unit
Western Australia,2019-20,Gas,692.598
Western Australia,2019-20,Oil,423.775
Western Australia,2019-20,Renewables,29.054
Western Australia,2020-21,Coal,114.323
Western Australia,2020-21,Gas,670.147
Western Australia,2020-21,Oil,418.539
Western Australia,2020-21,Renewables,35.936
Western Australia,2021-22,Coal,121.076
Western Australia,2021-22,Gas,673.08
Western Australia,2021-22,Oil,422.626
Western Australia,2021-22,Renewables,41.101
Western Australia,2022-23,Coal,99.449
Western Australia,2022-23,Gas,704.829
Western Australia,2022-23,Oil,447.131
Western Australia,2022-23,Renewables,42.218
South Australia,2008-09,Coal,80.189
South Australia,2008-09,Gas,134.012
South Australia,2008-09,Oil,120.167
South Australia,2008-09,Renewables,21.189
South Australia,2009-10,Coal,79.659
South Australia,2009-10,Gas,119.466
South Australia,2009-10,Oil,120.457
South Australia,2009-10,Renewables,20.431
South Australia,2010-11,Coal,72.576
South Australia,2010-11,Gas,121.81
South Australia,2010-11,Oil,119.284
South Australia,2010-11,Renewables,23.78
South Australia,2011-12,Coal,60.859
South Australia,2011-12,Gas,125.182
South Australia,2011-12,Oil,89.42
South Australia,2011-12,Renewables,24.702
South Australia,2012-13,Coal,50.709
South Australia,2012-13,Gas,124.634
South Australia,2012-13,Oil,147.358
South Australia,2012-13,Renewables,25.109
South Australia,2013-14,Coal,46.68
South Australia,2013-14,Gas,110.085
South Australia,2013-14,Oil,141.047
South Australia,2013-14,Renewables,29.096
South Australia,2014-15,Coal,53.961
South Australia,2014-15,Gas,99.515
South Australia,2014-15,Oil,163.36
South Australia,2014-15,Renewables,30.693
South Australia,2015-16,Coal,52.624
South Australia,2015-16,Gas,100.574
South Australia,2015-16,Oil,121.209
South Australia,2015-16,Renewables,31.594
South Australia,2016-17,Coal,26.064
South Australia,2016-17,Gas,109.573
South Australia,2016-17,Oil,106.567
South Australia,2016-17,Renewables,31.926
South Australia,2017-18,Coal,25.889
South Australia,2017-18,Gas,120.394
South Australia,2017-18,Oil,148.969
South Australia,2017-18,Renewables,37.254
South Australia,2018-19,Coal,26.337
South Australia,2018-19,Gas,108.318
South Australia,2018-19,Oil,148.762
South Australia,2018-19,Renewables,38.955
South Australia,2019-20,Coal,24.729
South Australia,2019-20,Gas,103.724
South Australia,2019-20,Oil,145.983
South Australia,2019-20,Renewables,40.932
South Australia,2020-21,Coal,25.392
South Australia,2020-21,Gas,92.21
South Australia,2020-21,Oil,143.272
South Australia,2020-21,Renewables,44.25
South Australia,2021-22,Coal,25.939
South Australia,2021-22,Gas,80.164
South Australia,2021-22,Oil,141.947
South Australia,2021-22,Renewables,48.085
South Australia,2022-23,Coal,22.004
South Australia,2022-23,Gas,74.762
South Australia,2022-23,Oil,144.925
South Australia,2022-23,Renewables,52.962
Tasmania,2008-09,Coal,12.437
Tasmania,2008-09,Gas,11.178
Tasmania,2008-09,Oil,41.565
Tasmania,2008-09,Renewables,37.086
Tasmania,2009-10,Coal,11.458
Tasmania,2009-10,Gas,13.567
Tasmania,2009-10,Oil,41.527
Tasmania,2009-10,Renewables,40.015
Tasmania,2010-11,Coal,10.137
Tasmania,2010-11,Gas,17.685
Tasmania,2010-11,Oil,39.19
Tasmania,2010-11,Renewables,43.05
Tasmania,2011-12,Coal,8.855
Tasmania,2011-12,Gas,16.157
Tasmania,2011-12,Oil,38.099
